"CR-02274","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMUEBLE"
"CR-02959","FIANZA PERSONAL"
"CR-02961","FIANZA PERSONAL"
"CR-02962","FIANZA PERSONAL"
"CR-02964","FIANZA PERSONAL"
"CR-02989","FIANZA PERSONAL"
"CR-03003","FIANZA PERSONAL"
"CR-03004","FIANZA PERSONAL"
"CR-03008","FIANZA PERSONAL"
"CR-03015","FIANZA PERSONAL"
"CR-03016","FIANZA PERSONAL"
"CR-03018","FIANZA PERSONAL"
"CR-03019","FIANZA PERSONAL"
"CR-03020","FIANZA PERSONAL"
"CR-03025","FIANZA PERSONAL"
"CR-03026","FIANZA PERSONAL"
"CR-03030","FIANZA PERSONAL"
"CR-03037","FIANZA PERSONAL"
"CR-03041","FIANZA PERSONAL"
"CR-03043","FIANZA PERSONAL"
"CR-03050","FIANZA PERSONAL"
"CR-03052","FIANZA PERSONAL"
"CR-03055","FIANZA PERSONAL"
"CR-03059","FIANZA PERSONAL"
"CR-03060","FIANZA PERSONAL"
"CR-03061","FIANZA PERSONAL"
"CR-03063","FIANZA PERSONAL"
"CR-03064","FIANZA PERSONAL"
"CR-03065","FIANZA PERSONAL"
"CR-03066","FIANZA PERSONAL"
"CR-03068","FIANZA PERSONAL"
"CR-03074","FIANZA PERSONAL"
"CR-03076","FIANZA PERSONAL"
"CR-03077","FIANZA PERSONAL"
"CR-03079","FIANZA PERSONAL"
"CR-03084","FIANZA PERSONAL"
"CR-03085","FIANZA PERSONAL"
"CR-03087","FIANZA PERSONAL"
"CR-03090","FIANZA PERSONAL"
"CR-03091","FIANZA PERSONAL"
"CR-03093","FIANZA PERSONAL"
"CR-03094","FIANZA PERSONAL"
"CR-03098","FIANZA PERSONAL"
"CR-03099","FIANZA PERSONAL"
"CR-03101","FIANZA PERSONAL"
"CR-03103","FIANZA PERSONAL"
"CR-03104","FIANZA PERSONAL"
"CR-03107","FIANZA PERSONAL"
"CR-03110","FIANZA PERSONAL"
"CR-03112","FIANZA PERSONAL"
"CR-03115","FIANZA PERSONAL"
"CR-03116","FIANZA PERSONAL"
"CR-03118","FIANZA PERSONAL"
"CR-03119","FIANZA PERSONAL"
"CR-03121","FIANZA PERSONAL"
"CR-03131","FIANZA PERSONAL"
"CR-03137","FIANZA PERSONAL"
"CR-03139","FIANZA PERSONAL"
"CR-03142","FIANAZA PERSONAL"
"CR-03144","FIANZA PERSONAL"
"CR-03149","FIANZA PERSONAL"
"CR-03150","FIANZA PERSONAL"
"CR-03154","FIANZA PERSONAL"
"CR-03156","FIANZA PERSONAL"
"CR-03157","FIANZA PERSONAL"
"CR-03158","FIANZA PERSONAL"
"CR-03161","FIANZA PERSONAL"
"CR-03162","FIANZA PERSONAL"
"CR-03163","FIANZA PERSONAL"
"CR-03164","FIANZA PERSONAL"
"CR-03165","FIANZA PERSONAL"
"CR-03168","FIANZA PERSONAL"
"CR-03169","FIANZA PERSONAL"
"CR-03170","FIANZA PERSONAL"
"CR-03171","FIANZA PERSONAL"
"CR-03172","FIANZA PERSONAL"
"CR-03173","FIANZA PERSONAL"
"CR-03174","FIANZA PERSONAL"
"CR-03175","FIANZA PERSONAL"
"CR-03176","FIANZA PERSONAL"
"CR-03178","FIANZA PERSONAL"
"CR-03179","FIANZA PERSONAL"
